Time,DeltaP,Speed
17:39:50-29/05/2018,0.0,-0.0014304095541972318,0

17:39:51-29/05/2018,0.0007629510948348211,0.19781470549797556,5

17:39:52-29/05/2018,0.0015259021896696422,0.28034472290516965,10

17:39:53-29/05/2018,0.0022888532845044634,0.34367222800616726,15

17:39:54-29/05/2018,0.0030518043793392844,0.3970597813026215,20

17:39:55-29/05/2018,0.0038147554741741053,0.444095157622902,25

17:39:56-29/05/2018,0.004577706569008927,0.4866183863262525,30

17:39:57-29/05/2018,0.005340657663843748,0.5257225292526478,35

17:39:58-29/05/2018,0.006103608758678569,0.5621197766597266,40

17:39:59-29/05/2018,0.0068665598535133906,0.5963048175899363,45

17:40:00-29/05/2018,0.007629510948348211,0.6286378321239895,50

17:40:01-29/05/2018,0.008392462043183033,0.6593907271291647,55

17:40:02-29/05/2018,0.009155413138017853,0.6887747471939726,60

17:40:03-29/05/2018,0.009918364232852674,0.7169578840502079,65

17:40:04-29/05/2018,0.010681315327687495,0.7440763447482052,70

17:40:05-29/05/2018,0.011444266422522317,0.7702423834269245,75

17:40:06-29/05/2018,0.012207217517357137,0.7955498139079539,80

17:40:07-29/05/2018,0.012970168612191958,0.8200779910386093,85

17:40:08-29/05/2018,0.013733119707026781,0.8438947506261294,90

17:40:09-29/05/2018,0.014496070801861601,0.8670586227291393,95

17:40:10-29/05/2018,0.015259021896696421,0.8896205264576958,100

17:40:11-29/05/2018,0.01602197299153124,0.9116250874339465,105

17:40:12-29/05/2018,0.016784924086366067,0.9331116757819847,110

17:40:13-29/05/2018,0.017547875181200885,0.9541152338603324,115

17:40:14-29/05/2018,0.018310826276035707,0.9746669435609694,120

17:40:15-29/05/2018,0.019073777370870525,0.9947947696190833,125

17:40:16-29/05/2018,0.019836728465705347,1.014523905980044,130

17:40:17-29/05/2018,0.02059967956054017,1.0338771455623719,135

17:40:18-29/05/2018,0.02136263065537499,1.0528751888970056,140

17:40:19-29/05/2018,0.02212558175020981,1.0715369035565658,145

17:40:20-29/05/2018,0.022888532845044635,1.089879543637528,150

17:40:21-29/05/2018,0.023651483939879453,1.1079189365655515,155

17:40:22-29/05/2018,0.024414435034714275,1.125669642980361,160

17:40:23-29/05/2018,0.025177386129549097,1.1431450942951966,165

17:40:24-29/05/2018,0.025940337224383915,1.160357711626743,170

